name,sites
5420: Advanced Computer Architecture,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5420'}]
5424: Developing and Designing Interactive Devices,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5424'}]
5430: System Security,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS5430/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5430', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5430/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5430/2021fa/'}]"
5431: Practicum in System Security,"[{'Spring 17': 'http://www.cs.cornell.edu/courses/CS5431/2017sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP19/class/CS/5431'}]"
5432: Advanced System Security,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5432/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/5432'}]"
"5433: Blockchains, Cryptocurrencies, and Smart Contracts",[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5433'}]
5435: Security and Privacy Concepts in the Wild,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5435'}]
5436: Privacy in the Digital Age,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5436'}]
5439: Practicum in Computer Security,"[{'Fall 18': 'https://github.com/cornelltech/CS5439-Fall2018', ' CR': 'https://classes.cornell.edu/browse/roster/FA18/class/CS/5439'}]"
5450: Networked and Distributed Systems,"[{' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/5450', 'Fall 18': 'https://pages.github.coecis.cornell.edu/cs5450/website/'}]"
5620: Introduction to Computer Graphics,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS5620/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5620', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5620/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5620/2021fa/'}]"
5621: Computer Graphics Practicum,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS5621/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5621', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5621/2020fa/'}]"
5625: Interactive Computer Graphics,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS5625/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5625'}]"
5650: Virtual and Augmented Reality,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5650'}]
5660: Signal Processing,[{' CR': 'https://classes.cornell.edu/browse/roster/FA16/class/CS/5660'}]
5670: Introduction to Computer Vision,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5670/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5670'}]"
5678: Topics in Mixed Reality,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5678'}]
5682: HCI and Design,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS5682/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5682', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS5682/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5682/2021fa/'}]"
5700: Foundations of Artificial Intelligence,"[{'Fall 21': 'http://www.cs.cornell.edu/courses/CS5700/2021fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5700'}]"
5701: Practicum in Artificial Intelligence,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5701'}]
5726: Inference and Decision Making,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5726'}]
5727: Optimization Methods,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5727'}]
5740: Natural Language Processing,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5740/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5740'}]"
5750: Foundations of Robotics,"[{'Fall 17': 'http://www.cs.cornell.edu/courses/CS5750/2017fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5750', 'Fall 18': 'http://www.cs.cornell.edu/courses/CS4750/2018fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5750/2021fa/'}]"
5758: Autonomous Mobile Robots,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5758'}]
5780: Introduction to Machine Learning,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS5780/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5780', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS5780/2021fa/'}]"
5781: Machine Learning Engineering,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5781'}]
5783: Mathematical Foundations of Machine Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5783'}]
5785: Applied Machine Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/5785'}]
5786: Machine Learning for Data Science,[{' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/5786'}]
5787: Deep Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5787'}]
5789: Introduction to Reinforcement Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5789'}]
5820: Introduction to Analysis of Algorithms,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5820'}]
5830: Cryptography,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5830'}]
5831: Security Protocols and Privacy,[{}]
5846: Decision Theory I,"[{'Spring 17': 'http://www.cs.cornell.edu/courses/CS5846/2017sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/5846', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS5846/2021sp/'}]"
5850: Mathematical Foundations for the Information Age,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5850'}]
5854: Networks and Markets,[{' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/5854'}]
5998: Master of Engineering Internship,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5998'}]
5999: Master of Engineering Project,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/5999'}]
6110: Advanced Programming Languages,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS6110/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6110'}]"
6113: Language-Based Security,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS6113/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA18/class/CS/6113'}]"
6114: Software-Defined Networking,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS6114/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6114', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS6114/2021sp/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6114/2021fa/'}]"
6115: Certified Software Systems,"[{'Fall 17': 'http://www.cs.cornell.edu/courses/CS6115/2017fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA17/class/CS/6115'}]"
6117: Category Theory for Computer Scientists,"[{'Spring 18': 'http://www.cs.cornell.edu/courses/CS6117/2018sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/6117', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS6117/2020sp/'}]"
6120: Advanced Compilers,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS6120/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6120', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS6120/2020fa/'}]"
6156: Runtime Verification,"[{'Fall 20': 'http://www.cs.cornell.edu/courses/CS6156/2020fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6156'}]"
6172: Program Synthesis,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6172'}]
6180: Introduction to Constructive Type Theory,"[{'Fall 17': 'http://www.cs.cornell.edu/courses/CS6180/2017fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA17/class/CS/6180'}]"
6182: Foundations of Probabilistic Programming,"[{'Fall 21': 'http://www.cs.cornell.edu/courses/CS6182/2021fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6182'}]"
6210: Matrix Computations,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS6210/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6210', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS6210/2020fa/'}]"
6220: Data-Sparse Matrix Computations,"[{'Fall 17': 'http://www.cs.cornell.edu/courses/CS6220/2017fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/6220', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS6220/2020sp/', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS6220/2021sp/'}]"
6241: Numerical Methods for Data Science,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS6241/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/6241', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS6241/2020sp/', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS6241/2021sp/'}]"
6320: Advanced Database Systems,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS6320/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/6320', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS6320/2020sp/', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS6320/2021sp/'}]"
6360: Educational Technology,"[{'Fall 16': 'http://www.cs.cornell.edu/courses/CS6360/2016fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP19/class/CS/6360', 'Spring 19': 'http://www.cs.cornell.edu/courses/CS6360/2019sp/'}]"
6382: Data Science for Social Change,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6382'}]
6410: Advanced Systems,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS6410/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6410', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6410/2021fa/'}]"
6411: Systems Principles,"[{'Spring 18': 'http://www.cs.cornell.edu/courses/CS6411/2018sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP18/class/CS/6411'}]"
6431: Security and Privacy Technologies,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6431'}]
6450: Advanced Computer Networking,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS6450/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6450', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS6450/2019fa/'}]"
6465: Emerging Cloud Technologies and Systems Challenges,"[{'Fall 17': 'http://www.cs.cornell.edu/courses/CS6465/2017fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA19/class/CS/6465', 'Fall 18': 'http://www.cs.cornell.edu/courses/CS6465/2018fa/', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS6465/2019fa/'}]"
6466: Cryptocurrencies and Smart Contracts,"[{'Spring 18': 'http://www.cs.cornell.edu/courses/CS6466/2018sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA19/class/CS/6466'}]"
6480: Systems Software and Formal Methods,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS6480/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/6480'}]"
6670: Computer Vision,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS6670/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6670', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS6670/2019fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6670/2021fa/'}]"
6682: Computation for Content Creation,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS6682/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6682'}]"
6700: Advanced Artificial Intelligence,"[{' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/6700', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS6700/2020sp/', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS6700/2021sp/'}]"
6740: Advanced Language Technologies,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS6740/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6740'}]"
6741: Topics in Natural Language Processing and Machine Learning,"[{'Fall 21': 'http://www.cs.cornell.edu/courses/CS6741/2021fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6741'}]"
6742: Natural Language Processing and Social Interaction,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS6742/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6742', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS6742/2019fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6742/2021fa/'}]"
6751: Robot Manipulation,"[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6751', 'Spring 18': 'http://www.cs.cornell.edu/courses/CS6751/2018sp/'}]"
6752: Formal Methods for Robotics,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6752'}]
6764: Reasoning about Knowledge,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS6764/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6764'}]"
6780: Advanced Machine Learning,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS6780/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP19/class/CS/6780'}]"
6781: Theoretical Foundations of Machine Learning,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS6781/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/6781'}]"
6783: Machine Learning Theory,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS6783/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6783', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS6783/2019fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6783/2021fa/'}]"
6784: Advanced Topics in Machine Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6784'}]
6785: Deep Probabilistic and Generative Models,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6785'}]
6787: Advanced Machine Learning Systems,"[{'Fall 19': 'http://www.cs.cornell.edu/courses/CS6787/2019fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6787', 'Fall 20': 'http://www.cs.cornell.edu/courses/CS6787/2020fa/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6787/2021fa/'}]"
6788: Advanced Topic Modeling,"[{'Fall 18': 'https://mimno.infosci.cornell.edu/info6150/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/6788'}]"
6789: Foundations of Reinforcement Learning,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6789'}]
"6802: Lattices: Geometry, Cryptography, and Algorithms",[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6802'}]
6810: Theory of Computing,"[{'Spring 17': 'http://www.cs.cornell.edu/courses/CS6810/2017sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6810', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6810/2021fa/'}]"
6815: Pseudorandomness and Combinatorial Constructions,"[{'Fall 18': 'http://www.cs.cornell.edu/courses/CS6815/2018fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA19/class/CS/6815', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS6815/2019fa/'}]"
6817: Special Topics in Complexity Theory,"[{'Fall 20': 'http://www.cs.cornell.edu/courses/CS6817/2020fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/6817'}]"
6820: Analysis of Algorithms,"[{'Fall 20': 'http://www.cs.cornell.edu/courses/CS6820/2020fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6820', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6820/2021fa/'}]"
6840: Algorithmic Game Theory,"[{'Spring 17': 'http://www.cs.cornell.edu/courses/CS6840/2017sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/6840', 'Spring 20': 'http://www.cs.cornell.edu/courses/CS6840/2020sp/'}]"
6850: The Structure of Information Networks,"[{'Spring 17': 'http://www.cs.cornell.edu/courses/CS6850/2017sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/6850', 'Spring 18': 'http://www.cs.cornell.edu/courses/CS6850/2018sp/', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS6850/2021fa/'}]"
6860: Logics of Programs,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS6860/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP21/class/CS/6860', 'Spring 21': 'http://www.cs.cornell.edu/courses/CS6860/2021sp/'}]"
6861: Introduction to Kleene Algebra,"[{'Spring 18': 'http://www.cs.cornell.edu/courses/CS6861/2018sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA19/class/CS/6861', 'Fall 19': 'http://www.cs.cornell.edu/courses/CS6861/2019fa/'}]"
7090: Computer Science Colloquium,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS7090/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7090', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7090/2021fa/'}]"
7190: Seminar in Programming Languages,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS7190/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7190', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7190/2021fa/'}]"
7194: Great Works in Programming Languages,"[{'Spring 19': 'http://www.cs.cornell.edu/courses/CS7194/2019sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7194'}]"
7290: Seminar on Scientific Computing and Numerics,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS7290/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7290', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7290/2021fa/'}]"
7390: Database Seminar,"[{'Fall 20': 'http://www.cs.cornell.edu/courses/CS7390/2020fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7390', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7390/2021fa/'}]"
7420: Special Topics in Computer Systems,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7420'}]
7450: Computer Networks a Decade from Now,[{' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/7450'}]
7490: Systems Research Seminar,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS7490/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7490', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7490/2021fa/'}]"
7491: The Great Instruction Set Architectures,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS7491/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/7491'}]"
7492: Special Topics in Computer Systems,[{' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/7492'}]
7493: Computer Security Seminar,[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/7493'}]
7620: Special Topics in Computer Graphics,"[{' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/7620', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7620/2021fa/'}]"
7690: Computer Graphics and Vision Seminar,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS7690/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7690', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7690/2021fa/'}]"
7740: Special Topics in Natural Language Processing,[{' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/7740'}]
7790: Seminar in Artificial Intelligence,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS7790/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7790', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7790/2021fa/'}]"
7792: Special Topics in Machine Learning,"[{'Spring 20': 'http://www.cs.cornell.edu/courses/CS7792/2020sp/', ' CR': 'https://classes.cornell.edu/browse/roster/FA21/class/CS/7792', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7792/2021fa/'}]"
7794: Seminar in Natural Language Understanding,"[{'Fall 21': 'http://www.cs.cornell.edu/courses/CS7794/2021fa/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7794'}]"
7796: Robotics Seminar,"[{'Fall 19': 'http://robotics.cornell.edu/seminar/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7796', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7796/2021fa/'}]"
7822: Special Topics in Algorithms,[{' CR': 'https://classes.cornell.edu/browse/roster/SP20/class/CS/7822'}]
7850: Seminar on Information Networks,"[{'Fall 20': 'http://www.cs.cornell.edu/courses/CS7850/2020fa/', ' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/7850'}]"
7890: Seminar in Theory of Algorithms and Computing,"[{'Spring 21': 'http://www.cs.cornell.edu/courses/CS7890/2021sp/', ' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7890', 'Fall 21': 'http://www.cs.cornell.edu/courses/CS7890/2021fa/'}]"
7893: Cryptography Seminar,[{' CR': 'https://classes.cornell.edu/browse/roster/FA20/class/CS/7893'}]
7999: Independent Research,[{' CR': 'https://classes.cornell.edu/browse/roster/SP22/class/CS/7999'}]
